,Type,main_muscle,secondary_muscle,equipment,mechanics,level,sport,force
,Strength,Abdominals,0,Machine,Isolation,Intermediate,No,Pull
,Stretching,Adductors,0,FoamRoll,Isolation,Intermediate,No,Static
,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Isolation,Intermediate,No,Push
,PronatedHipFlexorStretch,,,,,,,
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,MiddleBack, Biceps Lats,Kettlebells,Isolation,Intermediate,No,Pull
,Stretching,Calves,0,None,Isolation,Beginner,No,Pull
,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Push
,Strength,Chest, Shoulders,Dumbbell,Compound,Intermediate,No,Push
,Strongman,LowerBack, Abdominals Adductors Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Other,Compound,Expert,Yes,Pull
,Strength,Abdominals,0,Machine,Isolation,Intermediate,No,Pull
,Stretching,Adductors,0,FoamRoll,Isolation,Intermediate,No,Static
,Strength,Abdominals, Glutes Hamstrings Shoulders,Kettlebells,Isolation,Intermediate,No,Push
,Stretching,Quadriceps, Quadriceps,BodyOnly,N/A,Intermediate,No,Static
,Strength,Abdominals,0,BodyOnly,Isolation,Beginner,No,Pull
,Plyometrics,Quadriceps, Abductors Adductors Calves Glutes Hamstrings,None,Compound,Beginner,No,Push
,Strength,Shoulders,0,Dumbbell,Isolation,Beginner,No,Push
,Strength,Hamstrings, Biceps Calves Forearms Glutes LowerBack Traps,Kettlebells,Compound,Intermediate,No,Pull
,Strength,MiddleBack, Biceps Lats,Kettlebells,Isolation,Intermediate,No,Pull
,Stretching,Calves,0,None,Isolation,Beginner,No,Pull
,Stretching,Calves,0,Other,N/A,Intermediate,No,Static
,Stretching,Shoulders, Traps,None,Isolation,Beginner,No,Push
,Strength,Chest, Shoulders,Dumbbell,Compound,Intermediate,No,Push
,Strongman,LowerBack, Abdominals Adductors Biceps Calves Forearms Glutes Hamstrings MiddleBack Quadriceps Traps,Other,Compound,Expert,Yes,Pull
,Strength,Shoulders, MiddleBack Triceps,Bands,Compound,Beginner,No,Pull
,Plyometrics,Shoulders,0,MedicineBall,Compound,Beginner,No,Push
,Strength,Hamstrings, Calves Glutes,ExerciseBall,Isolation,Beginner,No,Pull
,Powerlifting,Hamstrings, Glutes LowerBack,Bands,Compound,Beginner,No,Pull
,Strength,Adductors,0,Bands,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
,Strength,Abdominals, LowerBack Shoulders,Barbell,Compound,Expert,No,Pull
,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
,Strength,LowerBack, Calves Forearms Glutes Hamstrings Lats MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
,Powerlifting,Glutes, Calves Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Quadriceps, Calves Forearms Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Chest, Shoulders Triceps,Barbell,Compound,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Intermediate,No,Push
,Strength,Abdominals, Glutes Hamstrings Lats Shoulders,Barbell,Compound,Intermediate,No,Pull
,Strength,Shoulders, Chest Triceps,Barbell,Compound,Intermediate,No,Push
,Strength,Traps, Forearms MiddleBack,Barbell,Isolation,Beginner,No,Pull
,Strength,Quadriceps, Calves Hamstrings LowerBack,Barbell,Compound,Beginner,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
,Strength,Quadriceps, Calves Glutes Hamstrings,Barbell,Compound,Beginner,No,Push
,Strongman,Quadriceps, Calves Glutes Hamstrings,Other,Compound,Beginner,No,Push
,Strength,Triceps, Chest Shoulders,BodyOnly,Compound,Beginner,No,Push
,Powerlifting,Triceps, Chest Forearms Lats Shoulders,Barbell,Compound,Intermediate,Yes,Push
,Powerlifting,Triceps, Chest Lats Shoulders,Barbell,Compound,Expert,No,Push
,Strength,MiddleBack, Biceps Lats Shoulders,Barbell,Compound,Beginner,No,Pull
,Strength,Shoulders, LowerBack MiddleBack Traps,Cable,Isolation,Beginner,No,Pull
,Strength,MiddleBack, Biceps Lats,Barbell,Compound,Intermediate,No,Pull
,Strength,MiddleBack, Biceps Lats,Dumbbell,Compound,Beginner,No,Pull
,Strength,Lats, Chest Lats Shoulders Triceps,Barbell,Compound,Intermediate,No,Pull
,Strength,Abdominals,0,BodyOnly,Compound,Beginner,No,Pull
,Cardio,Quadriceps, Calves Glutes Hamstrings,Machine,N/A,Beginner,Indoor,No
,Strength,Triceps,0,BodyOnly,Isolation,Beginner,No,Push
,Strength,Chest, Abdominals Shoulders Triceps,E-ZCurlBar,Isolation,Intermediate,No,Push
,Strength,Quadriceps, Glutes Hamstrings,BodyOnly,Compound,Beginner,No,Push
,Strength,Abdominals,0,Cable,Isolation,Beginner,No,Pull
,Strength,Forearms, Biceps Shoulders,Kettlebells,Compound,Intermediate,No,Pull
,Plyometrics,Hamstrings, Abductors Adductors Calves Glutes Quadriceps,Other,Compound,Beginner,No,Push
,Powerlifting,Quadriceps, Abductors Adductors Calves Glutes Hamstrings LowerBack,Barbell,Compound,Expert,No,Push
,Stretching,Biceps,0,FoamRoll,N/A,Intermediate,No,Static
,Strength,Glutes, Hamstrings,BodyOnly,Isolation,Beginner,No,Push
,Strength,Chest,0,Machine,Isolation,Beginner,No,Pull
,Strength,Shoulders, MiddleBack Triceps,Bands,Compound,Beginner,No,Pull
,Plyometrics,Shoulders,0,MedicineBall,Compound,Beginner,No,Push
,Strength,Hamstrings, Calves Glutes,ExerciseBall,Isolation,Beginner,No,Pull
,Powerlifting,Hamstrings, Glutes LowerBack,Bands,Compound,Beginner,No,Pull
,Strength,Adductors,0,Bands,Isolation,Beginner,No,Pull
,Strength,Triceps,0,Bands,Isolation,Beginner,No,Push
,Strength,Abdominals, LowerBack Shoulders,Barbell,Compound,Expert,No,Pull
,Strength,Biceps, Forearms,Barbell,Isolation,Beginner,No,Pull
,Strength,LowerBack, Calves Forearms Glutes Hamstrings Lats MiddleBack Quadriceps Traps,Barbell,Compound,Intermediate,Yes,Pull
